day,hour,n
4,14,316
4,18,891
4,17,1091
4,13,376
4,3,7
4,23,130
4,8,798
4,19,563
4,21,231
4,9,498
4,11,412
4,20,340
4,12,465
4,16,873
4,10,398
4,22,154
4,15,541
4,6,258
4,7,484
4,0,41
4,5,94
4,4,31
4,2,15
4,1,19
