day,hour,n
5,21,334
5,0,79
5,19,637
5,9,350
5,17,1307
5,7,525
5,12,616
5,11,473
5,10,365
5,18,975
5,20,374
5,13,656
5,16,1059
5,8,351
5,15,694
5,14,611
5,23,116
5,3,24
5,2,30
5,5,96
5,6,269
5,22,197
5,4,29
5,1,41
