day,hour,n
6,10,433
6,22,270
6,18,1280
6,19,918
6,17,1535
6,0,76
6,3,26
6,8,829
6,20,497
6,14,662
6,6,331
6,11,476
6,12,597
6,7,635
6,23,191
6,16,1237
6,21,431
6,9,528
6,13,613
6,15,877
6,5,107
6,1,20
6,4,17
6,2,23
