day,hour,n
8,13,1445
8,14,1514
8,16,1387
8,11,1092
8,12,1297
8,21,402
8,8,354
8,10,883
8,19,790
8,18,1129
8,1,115
8,6,117
8,15,1415
8,22,295
8,20,503
8,17,1208
8,23,254
8,9,590
8,4,15
8,7,207
8,3,45
8,0,137
8,2,68
8,5,35
