day,hour,n
16,20,221
16,0,605
16,2,212
16,17,395
16,5,56
16,11,497
16,6,96
16,9,361
16,18,453
16,21,164
16,12,329
16,14,436
16,19,329
16,15,465
16,1,340
16,16,420
16,8,175
16,4,53
16,10,563
16,3,127
16,13,406
16,22,98
16,23,41
16,7,159
