day,hour,n
9,15,1498
9,22,238
9,0,202
9,9,445
9,12,1161
9,16,1398
9,7,164
9,14,1412
9,17,1221
9,18,1025
9,20,450
9,13,1277
9,21,337
9,11,936
9,19,733
9,23,145
9,10,758
9,2,83
9,4,39
9,3,36
9,8,289
9,1,139
9,6,101
9,5,40
