day,hour,n
14,14,1507
14,16,2402
14,20,1003
14,19,1707
14,12,1330
14,6,446
14,9,788
14,17,2736
14,15,1945
14,22,829
14,7,837
14,21,891
14,18,2368
14,8,1001
14,11,1030
14,23,667
14,13,1343
14,3,54
14,0,265
14,10,802
14,1,137
14,5,147
14,4,48
14,2,82
