day,hour,n
23,0,272
23,14,617
23,22,169
23,10,569
23,13,714
23,19,427
23,6,81
23,5,49
23,20,313
23,12,755
23,15,631
23,7,162
23,11,666
23,4,27
23,1,180
23,8,231
23,3,46
23,9,386
23,16,630
23,2,95
23,18,528
23,21,231
23,17,634
23,23,87
