day,hour,n
10,8,977
10,16,1625
10,10,541
10,17,2125
10,7,724
10,18,1768
10,15,1103
10,19,1115
10,11,713
10,20,692
10,12,830
10,4,23
10,22,366
10,13,912
10,9,663
10,21,645
10,23,225
10,14,895
10,6,386
10,0,70
10,2,19
10,5,124
10,1,41
10,3,24
