day,hour,n
26,17,1812
26,15,846
26,8,1140
26,9,585
26,19,879
26,18,1461
26,16,1406
26,21,492
26,7,883
26,20,572
26,12,654
26,22,307
26,6,423
26,2,22
26,10,451
26,13,654
26,14,640
26,0,77
26,11,543
26,23,164
26,5,124
26,1,35
26,4,24
26,3,18
