day,hour,n
7,12,841
7,15,933
7,19,667
7,13,836
7,6,259
7,10,506
7,11,683
7,17,1073
7,23,207
7,9,506
7,18,922
7,8,577
7,0,105
7,21,322
7,14,855
7,20,387
7,16,999
7,22,215
7,5,75
7,7,386
7,2,32
7,3,20
7,1,82
7,4,28
