day,hour,n
13,14,1153
13,0,169
13,7,1087
13,19,1799
13,16,2312
13,9,888
13,15,1480
13,18,2544
13,11,879
13,10,695
13,17,2894
13,20,1110
13,21,911
13,8,1421
13,12,1119
13,22,741
13,23,429
13,13,1122
13,1,74
13,3,38
13,6,599
13,5,158
13,4,23
13,2,45
