day,hour,n
29,16,1003
29,1,284
29,11,671
29,22,401
29,19,833
29,15,982
29,8,455
29,10,902
29,17,1045
29,12,366
29,18,1022
29,20,557
29,13,299
29,9,743
29,23,374
29,0,294
29,7,238
29,21,512
29,3,70
29,2,127
29,14,569
29,6,115
29,5,42
29,4,41
