day,hour,n
1,12,516
1,8,266
1,9,339
1,15,467
1,17,579
1,10,414
1,13,528
1,16,588
1,14,472
1,0,212
1,11,456
1,18,495
1,22,256
1,19,435
1,2,65
1,1,125
1,4,28
1,21,217
1,7,131
1,20,264
1,3,51
1,23,230
1,6,48
1,5,27
